ジャンル,メニュー名,カロリー,タンパク質,脂質,炭水化物,塩分,人権
貴族焼, もも貴族焼 たれ,350,26.3,21.6,9.5,1.9,3
貴族焼, もも貴族焼 塩,318,25.4,21.4,2.7,1.8,3
貴族焼, もも貴族焼 スパイス,328,25.7,21.5,4.6,4.2,3
貴族焼, むね貴族焼 たれ,253,32.6,8.9,8.5,1.4,3
貴族焼, むね貴族焼 塩,226,31.9,8.7,2.8,1.6,3
貴族焼, むね貴族焼 スパイス,236,32.2,8.8,4.7,4,3
塩焼, せせり,243,19.1,18.5,0,0.5,2
塩焼, ハート(ハツ)塩,166,11.6,12.4,0,0.5,1
塩焼, かわ塩,547,12.2,53.5,1,2.1,2
塩焼, 砂ずり（砂肝）,76,14.6,1.4,0,0.6,1
塩焼, ひざなんこつ,38,8.8,0.3,0.3,1.2,3
塩焼, やげんなんこつ,136,14.3,8.6,0,1.2,3
塩焼, 三角（ぼんじり）,313,9.3,30.6,0,1.1,2
塩焼, ちからこぶ塩,199,18.2,12.8,0.3,0.8,3
塩焼, ささみ塩焼-わさび粗おろし添え-,112,23.1,0.8,1.4,1,3
塩焼, 手羽先塩,367,31.1,25,0,0.8,3
塩焼, つくね塩,217,17.2,11,13.5,1.1,3
たれ焼, ハート(ハツ)たれ,175,11.8,12.5,1.8,0.6,1
たれ焼, かわたれ,595,13.5,53.8,11,2.5,3
たれ焼, きも（レバー）,152,23.2,3.8,4.5,1.1,1
たれ焼, ちからこぶたれ,220,18.7,13,4.6,1,2
たれ焼, みたれ（もも肉）,223,17.1,14.3,3.8,1.1,3
たれ焼, 手羽先たれ,391,31.7,25.1,5,1.5,2
たれ焼, つくねたれ,243,17.9,11.5,18.1,1.9,3
たれ焼, つくねチーズ焼,282,20.7,15.1,17.2,1.8,3
串焼, もちもちチーズ焼,171,3.1,2.4,32.7,0.4,2
串焼, 牛串焼-果実とにんにくの旨味-,177,10.2,13.8,2.9,0.7,2
串焼, きも焼-塩ごま油添え-,282,23.1,18.7,3,5.5,2
串焼, むね明太マヨ焼,183,22.3,8.7,2.2,0.9,3
串焼, ピーマン肉詰-ポン酢味-,104,7.1,4.6,9.2,1.2,3
串焼, 豚バラ串焼,237,8.6,21.2,0.1,0.4,3
スピードメニュー, 国産枝豆,191,15.6,9.1,14.9,0.6,1
スピードメニュー, キャベツ盛,48,2.3,0.2,10.6,2.8,3
スピードメニュー, キャベツ盛+ごま油,95,2.3,5.2,10.6,2.8,3
スピードメニュー, 味付煮玉子,161,14.3,9.8,3.7,2.2,2
スピードメニュー, 超！白ねぎ塩こんぶ,92,3.2,6.1,6.8,1.4,3
スピードメニュー, 北海道産蛸わさび,50,4.1,0.3,7.4,2.4,1
スピードメニュー, トリキのチャンジャ,27,3,0.4,2.7,1.3,1
スピードメニュー, ホルモンねぎ盛ポン酢,134,14,6.9,2.8,1,2
スピードメニュー, 塩だれキューリ,55,1.9,3.4,5,5.2,3
スピードメニュー, 親鶏炙り焼マヨサラダ,189,7.4,13.7,7.6,1.1,3
スピードメニュー, 冷やしトマト,64,1.1,3.9,6.9,0.1,2
逸品料理, カマンベールコロッケ,239,4.5,11.3,30.6,1.8,2
逸品料理, ひざなんこつ唐揚,120,7.8,4.5,12.1,1.8,3
逸品料理, とり天-梅肉ソース添え-,300,18.5,14.4,20.9,2,-999
逸品料理, チキン南蛮,485,20.3,32.1,26,2.2,2
逸品料理, 鶏皮チップ,344,5.4,30.2,12.3,1.1,1
逸品料理, 北海道 海と大地のポテトサラダ,377,11.1,24.5,26.9,2.5,2
逸品料理, 和風とりポテトサラダ,337,7.5,22.1,26.8,2.2,3
逸品料理, ふんわり山芋の鉄板焼,160,4.7,7,20,1.9,3
逸品料理, ポテトフライ,333,3.4,14,48.2,0.7,2
逸品料理, トリキの唐揚,318,39,10.6,13.5,3.3,3
ご飯もの, とり白湯めん,301,10.6,9,42.1,7.2,-999
ご飯もの, ご飯セット ～温玉添え～ 小盛200g,441,14.6,7.8,72.9,2.8,-999
ご飯もの, ご飯セット ～温玉添え～ 並盛250g,522,16,8,90.6,2.8,-999
ご飯もの, ご飯セット ～温玉添え～ 大盛300g,604,17.4,8.2,108.2,2.8,-999
ご飯もの, とり釜飯,424,14.2,3.5,79.8,3.5,-999
ご飯もの, 鶏スパイス丼 ～バター醤油風味～,421,15.1,8.6,66.5,3.3,-999
ご飯もの, とり雑炊,248,13,7.6,29.3,5.5,-999
デザート, カタラーナアイス,247,2.5,13.5,29.9,0.1,-999
デザート, チョコパフェ -チュロ添え-,280,4.7,14,34.8,0.3,-999
デザート, 魅惑のチョコレートみるく,332,7.9,15.4,43,0.3,-999
デザート, 鳥貴ドームアイス ～いちご～,224,2.8,5,41.9,0.1,-999
デザート, 鳥貴ドームアイス ～みたらし～,218,2.9,5,40.6,0.3,-999
